,ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
168,curitiba,1668077732,1668083176,305,305,0,0,0,0,1,2629.0,2629.0,,273.0,4,0.4051,,,4,0,1,0,86,37,14,10,0,0.7674375,,,2,43,0.689916667,0,,
169,Campinas,1690827091,1690827413,42,42,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
170,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
171,Campinas,1691438365,1691440004,35,35,0,0,0,0,2,776.5,776.5,,0.0,1,48.0,,,1,0,1,0,35,61,52,5,1,1.0,,,1,62,1.0,0,,
174,Uru,1661457051,1667592673,382,311,0,10,1,3,16,41043.75,111.25,33.33333333,71.0,32,15.625,44.4444,35.1563,32,7,15,28,470,145,112,9,0,,,,0,0,,0,,
175,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
176,,1693439646,1693439789,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
177,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
178,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
179,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
181,,1692747844,1693240263,20,14,0,0,0,0,0,,,,6.0,2,1.5714,,,2,1,0,1,0,0,0,0,0,,,,0,0,,0,,
183,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
184,Campinas,1690811011,1690811011,42,42,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
186,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
187,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
188,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
189,Campinas,1691438365,1691440004,35,35,0,0,0,0,2,776.5,776.5,,0.0,1,48.0,,,1,0,1,0,35,61,52,5,1,1.0,,,1,62,1.0,0,,
190,Campinas,1693918948,1694313897,6,2,0,0,0,0,2,14695.0,14695.0,,4.0,4,31.0,,,4,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,,
191,Campinas,1693318917,1693321309,13,13,0,0,0,0,2,952.0,952.0,,0.0,1,57.0,,,1,0,1,0,46,59,51,4,1,1.0,,,1,62,1.0,0,,
192,Curitiba,1663352727,1671533068,360,265,0,1,3,0,6,72.0,,,342.0,48,11.9213,13.9942,85.1875,48,9,16,27,150,18,6,0,0,0.0,,,1,48,0.0,0,,
195,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
196,Campinas,1693183407,1694374999,15,1,0,0,0,0,2,902.0,902.0,,18.0,6,15.3158,,,6,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.983391615,0,,
197,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
198,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
199,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
200,,1693428019,1694470591,12,0,0,0,0,0,2,131278.5,131278.5,,12.0,3,9.0769,,,3,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,,
201,,1693846260,1693851350,7,7,0,0,0,0,2,682.5,682.5,,0.0,1,111.0,,,1,0,1,0,52,20,19,1,0,0.985915493,,,8,15,0.9875,0,,
202,Campinas,1690396599,1690398743,47,47,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
203,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
205,Campinas,1690827091,1690827413,42,42,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
206,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
207,Campinas,1693953769,1693954653,6,6,0,0,0,0,0,,,,0.0,1,31.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
208,,1693187526,1693187600,15,15,0,0,0,0,0,,,,0.0,1,13.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
210,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
212,Campinas,1692119556,1693484090,27,11,0,0,0,0,0,,,,27.0,3,2.3571,,,3,0,0,0,0,0,0,0,0,,,,0,0,,6,,6.0
213,Campinas,1692907332,1692907332,18,18,0,0,0,0,0,,,,0.0,1,9.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
214,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
215,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
216,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
217,Curitiba,1666091686,1666093172,328,328,0,0,0,0,0,,,,0.0,1,16.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
218,Campinas,1693359554,1693359711,13,13,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
219,Campinas,1672424588,1692747712,255,20,0,0,0,0,5,20472.2,25557.75,87.81987578,235.0,4,0.9873,,,4,0,3,0,175,109,94,8,5,0.90426087,0.0128,0.0085,3,63,0.919388889,0,,
220,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
221,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
222,Campinas,1693918948,1694313897,6,2,0,0,0,0,2,14695.0,14695.0,,4.0,4,31.0,,,4,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,,
223,Campinas,1690915597,1692990127,41,17,0,0,0,0,0,,,,24.0,2,0.2,,,2,0,0,0,0,0,0,0,0,,,,0,0,,0,,
224,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
225,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
226,Campinas,1693183407,1694374999,15,1,0,0,0,0,2,902.0,902.0,,18.0,6,15.3158,,,6,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.983391615,0,,
227,Campinas,1692391113,1692391646,24,24,0,0,0,0,0,,,,0.0,1,6.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
228,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
229,Campinas,1690401218,1690401376,47,47,0,0,0,0,0,,,,0.0,1,10.0,,,1,0,1,0,3,0,0,0,0,,,,0,0,,0,,
230,Campinas,1667501243,1694451399,312,0,1,48,39,0,7,111.8571,93.2,6.203995793,312.0,181,110.885,57.8275,191.7514,181,58,88,619,1944,18,13,1,1,0.776923077,0.0267,0.0267,4,716,0.6375,7,,7.0
231,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
232,,1693428635,1693428635,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
233,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
234,Campinas,1692714277,1694181750,20,3,0,0,0,0,2,2713.5,2713.5,,17.0,9,10.5556,,,9,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,,
235,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
236,,1690288274,1694366405,48,1,0,0,0,0,2,2518.0,2518.0,,47.0,29,16.0,60.4167,26.4828,29,6,7,26,112,58,52,2,1,0.98989897,0.3721,0.2558,16,47,0.989583313,0,,
237,,1689612221,1693937636,56,6,0,0,0,0,4,1835.25,1835.25,89.72972973,50.0,26,21.4706,50.9804,42.1154,26,6,10,28,179,62,51,8,1,0.991836735,0.525,0.325,21,42,0.99047619,47,6.7143,15.6667
239,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
240,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
241,Curitiba,1663352727,1671533068,360,265,0,1,3,0,6,72.0,,,342.0,48,11.9213,13.9942,85.1875,48,9,16,27,150,18,6,0,0,0.0,,,1,48,0.0,0,,
242,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
243,Campinas,1691006627,1693310689,40,13,0,0,0,0,2,584.5,584.5,,27.0,4,3.0357,,,4,0,1,0,32,58,51,3,1,1.0,0.16,0.08,4,59,1.0,0,,
244,Campinas,1678371916,1693846818,186,7,0,0,3,0,17,15294.0588,170.0,71.66666667,179.0,44,12.4889,24.4444,51.0909,44,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.922023821,0,,
245,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
246,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
247,,1692749050,1693265685,20,14,0,0,0,0,3,1463.6667,1463.6667,,6.0,5,38.8571,,,5,4,4,19,112,60,53,6,0,1.0,3.6667,1.3333,11,52,1.0,0,,
248,,1692747844,1693240263,20,14,0,0,0,0,0,,,,6.0,2,1.5714,,,2,1,0,1,0,0,0,0,0,,,,0,0,,0,,
249,Campinas,1691438365,1691440004,35,35,0,0,0,0,2,776.5,776.5,,0.0,1,48.0,,,1,0,1,0,35,61,52,5,1,1.0,,,1,62,1.0,0,,
250,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
251,Campinas,1693359554,1693359711,13,13,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
252,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
253,Campinas,1692714277,1694181750,20,3,0,0,0,0,2,2713.5,2713.5,,17.0,9,10.5556,,,9,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,,
254,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
255,,1693428019,1694470591,12,0,0,0,0,0,2,131278.5,131278.5,,12.0,3,9.0769,,,3,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,,
256,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
257,,1690662696,1690662696,44,44,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
258,Campinas,1693850228,1694006738,7,5,0,0,0,0,2,2173.0,2173.0,,2.0,2,28.6667,,,2,1,1,1,55,57,44,9,1,1.0,1.0,1.0,2,61,1.0,0,,
259,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
260,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
261,,1679009073,1692985859,179,17,0,0,0,0,0,,,,162.0,3,0.2945,,,3,0,0,0,0,0,0,0,0,,,,0,0,,0,,
263,,1693428635,1693428635,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
264,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
265,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
266,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
267,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
269,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
270,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
271,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
272,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
273,Campinas,1678371916,1693846818,186,7,0,0,3,0,17,15294.0588,170.0,71.66666667,179.0,44,12.4889,24.4444,51.0909,44,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.922023821,0,,
274,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
275,Campinas,1691070129,1691073849,39,39,0,0,0,0,0,,,,0.0,1,10.0,,,1,0,1,0,3,0,0,0,0,,,,0,0,,0,,
276,Campinas,1693602276,1693602276,10,10,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
279,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
281,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
282,Campinas,1693602276,1693602276,10,10,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
283,Campinas,1693318917,1693321309,13,13,0,0,0,0,2,952.0,952.0,,0.0,1,57.0,,,1,0,1,0,46,59,51,4,1,1.0,,,1,62,1.0,0,,
284,,1679009073,1692985859,179,17,0,0,0,0,0,,,,162.0,3,0.2945,,,3,0,0,0,0,0,0,0,0,,,,0,0,,0,,
285,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
286,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
287,,1693428019,1694470591,12,0,0,0,0,0,2,131278.5,131278.5,,12.0,3,9.0769,,,3,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,,
288,Campinas,1693850228,1694006738,7,5,0,0,0,0,2,2173.0,2173.0,,2.0,2,28.6667,,,2,1,1,1,55,57,44,9,1,1.0,1.0,1.0,2,61,1.0,0,,
289,Campinas,1691438365,1691440004,35,35,0,0,0,0,2,776.5,776.5,,0.0,1,48.0,,,1,0,1,0,35,61,52,5,1,1.0,,,1,62,1.0,0,,
291,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
292,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
293,Campinas,1693918948,1694313897,6,2,0,0,0,0,2,14695.0,14695.0,,4.0,4,31.0,,,4,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,,
294,,1693187526,1693187600,15,15,0,0,0,0,0,,,,0.0,1,13.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
295,Campinas,1692908638,1694209784,18,3,0,0,0,0,2,46002.5,46002.5,,15.0,7,14.375,,,7,2,4,32,64,59,48,8,1,0.969230769,0.6667,0.5556,6,57,0.966666667,0,,
296,Campinas,1693850228,1694006738,7,5,0,0,0,0,2,2173.0,2173.0,,2.0,2,28.6667,,,2,1,1,1,55,57,44,9,1,1.0,1.0,1.0,2,61,1.0,0,,
297,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
298,,1689459973,1692884656,58,18,0,0,0,0,0,,,,40.0,3,0.6341,,,3,0,0,0,0,0,0,0,0,,,,0,0,,0,,
299,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
300,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
301,Curitiba,1666091686,1666093172,328,328,0,0,0,0,0,,,,0.0,1,16.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
302,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
303,,1692624634,1693574329,21,10,0,0,0,0,0,,,,11.0,4,2.6667,,,4,0,0,0,0,0,0,0,0,,,,0,0,,0,,
305,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
306,Campinas,1693918948,1694313897,6,2,0,0,0,0,2,14695.0,14695.0,,4.0,4,31.0,,,4,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,,
307,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
308,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
309,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
310,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
311,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
313,Campinas,1693172957,1693280415,15,13,0,0,0,0,3,32156.0,32156.0,,2.0,3,34.0,,,3,1,3,1,70,58,51,4,1,1.0,,,1,62,1.0,0,,
314,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
315,Campinas,1693491000,1694213261,11,3,0,0,0,0,2,3548.5,3548.5,,8.0,6,13.7778,,,6,1,2,2,64,58,45,9,1,0.92,0.5,0.5,2,61,0.9,0,,
318,Curitiba,1663952057,1663960419,353,353,0,1,0,0,0,,,,321.0,2,0.1708,,,2,1,0,2,0,0,0,0,0,0.0,,,1,2,0.0,0,,
319,Campinas,1693801598,1694204669,7,3,0,0,0,0,2,1579.0,1579.0,,4.0,2,20.6,,,2,0,1,0,68,60,49,7,1,1.0,,,2,61,1.0,0,,
320,Campinas,1693614175,1693614241,10,10,0,0,0,0,0,,,,0.0,1,6.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
322,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
325,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
