nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,abandono,indice_evasao,evasao_cat
20,6,0,4,0,0,1,14.0,3,4.7333,3,1,2,1,34,44,1,0,0,1,62,0,0,6.0,média
19,18,0,0,0,0,0,1.0,2,9.5,2,1,1,1,3,0,0,0,0,0,0,0,0,6.0,média
34,34,0,0,0,0,1,0.0,1,36.0,1,0,1,0,24,44,1,0,0,1,62,0,0,6.0,média
20,5,0,0,0,0,2,15.0,7,11.75,7,1,2,1,43,58,40,16,0,5,58,0,0,6.0,média
20,20,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
188,188,0,0,0,0,0,0.0,1,20.0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,alta
27,13,0,0,0,0,2,14.0,6,7.4667,6,0,3,0,60,59,45,11,1,2,61,0,0,6.0,média
26,26,0,0,0,0,0,7.0,3,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
332,266,0,1,0,0,4,66.0,13,6.3731,13,3,4,13,67,18,4,0,0,1,2,0,0,5.0,média
11,11,0,0,0,0,0,0.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
47,47,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
12,12,0,0,0,0,0,0.0,1,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
18,18,0,0,0,0,1,0.0,1,58.0,1,0,1,0,34,45,1,0,0,1,62,0,0,7.0,média
382,311,0,10,1,3,16,71.0,32,15.625,32,7,15,28,470,145,112,9,0,0,0,0,1,2.0,alta
12,12,0,0,0,0,0,0.0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
42,42,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
7,7,0,0,0,0,2,0.0,1,111.0,1,0,1,0,52,20,19,1,0,8,15,0,0,7.0,média
42,42,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
6,6,0,0,0,0,0,0.0,1,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
27,11,0,0,0,0,0,27.0,3,2.3571,3,0,0,0,0,0,0,0,0,0,0,6,0,6.0,média
255,20,0,0,0,0,5,235.0,4,0.9873,4,0,3,0,175,109,94,8,5,3,63,0,0,6.0,média
41,17,0,0,0,0,0,24.0,2,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
15,1,0,0,0,0,2,18.0,6,15.3158,6,4,2,22,43,60,47,9,1,13,50,0,0,6.0,média
48,1,0,0,0,0,2,47.0,29,16.0,29,6,7,26,112,58,52,2,1,16,47,0,0,7.0,média
360,265,0,1,3,0,6,342.0,48,11.9213,48,9,16,27,150,18,6,0,0,1,48,0,0,5.0,média
40,13,0,0,0,0,2,27.0,4,3.0357,4,0,1,0,32,58,51,3,1,4,59,0,0,6.0,média
20,14,0,0,0,0,0,6.0,2,1.5714,2,1,0,1,0,0,0,0,0,0,0,0,0,6.0,média
13,13,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
44,44,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
39,39,0,0,0,0,0,0.0,1,10.0,1,0,1,0,3,0,0,0,0,0,0,0,0,6.0,média
13,13,0,0,0,0,2,0.0,1,57.0,1,0,1,0,46,59,51,4,1,1,62,0,0,7.0,média
179,17,0,0,0,0,0,162.0,3,0.2945,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
35,35,0,0,0,0,2,0.0,1,48.0,1,0,1,0,35,61,52,5,1,1,62,0,0,6.0,média
15,15,0,0,0,0,0,0.0,1,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
58,18,0,0,0,0,0,40.0,3,0.6341,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
328,328,0,0,0,0,0,0.0,1,16.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,alta
6,2,0,0,0,0,2,4.0,4,31.0,4,1,1,2,92,52,30,17,0,2,61,0,0,6.0,média
15,13,0,0,0,0,3,2.0,3,34.0,3,1,3,1,70,58,51,4,1,1,62,0,0,6.0,média
11,3,0,0,0,0,2,8.0,6,13.7778,6,1,2,2,64,58,45,9,1,2,61,0,0,6.0,média
7,3,0,0,0,0,2,4.0,2,20.6,2,0,1,0,68,60,49,7,1,2,61,0,0,6.0,média
10,10,0,0,0,0,0,0.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
47,47,0,0,0,0,0,0.0,1,10.0,1,0,1,0,3,0,0,0,0,0,0,0,0,6.0,média
12,0,0,0,0,0,2,12.0,3,9.0769,3,1,2,11,49,58,40,16,0,2,61,0,0,6.0,média
353,353,0,1,0,0,0,321.0,2,0.1708,2,1,0,2,0,0,0,0,0,1,2,0,1,1.0,alta
24,24,0,0,0,0,0,0.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
5,5,0,0,0,0,0,0.0,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
109,49,0,0,0,0,0,60.0,3,1.3443,3,1,0,3,0,0,0,0,0,0,0,0,0,6.0,média
382,0,0,0,0,0,0,382.0,71,5.4334,71,3,25,22,420,1,0,0,0,0,214,0,0,7.0,média
188,188,0,0,0,0,0,0.0,1,24.0,1,1,0,1,0,0,0,0,0,0,0,0,1,2.0,alta
20,14,0,0,0,0,0,6.0,2,3.1429,2,0,1,0,3,0,0,0,0,0,0,0,0,6.0,média
19,18,0,0,0,0,1,1.0,2,28.0,2,0,2,0,31,39,1,0,0,1,62,0,0,6.0,média
17,17,0,0,0,0,1,0.0,1,50.0,1,0,1,0,36,43,1,0,0,1,62,0,0,6.0,média
47,47,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
143,143,0,0,0,0,0,0.0,1,16.0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,alta
23,8,0,0,0,0,2,15.0,2,5.9375,2,1,2,1,44,59,50,5,1,3,60,0,0,6.0,média
14,14,0,0,0,0,0,0.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
24,24,0,0,0,0,0,0.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
336,272,0,14,0,0,2,64.0,9,4.6769,9,0,3,0,175,82,82,0,0,8,46,0,0,5.0,média
42,13,0,0,0,0,2,29.0,6,5.7,6,3,3,9,62,59,53,2,1,7,56,0,0,6.0,média
12,12,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
186,7,0,0,3,0,17,179.0,44,12.4889,44,20,21,123,384,115,89,17,2,28,58,0,0,7.0,média
56,6,0,0,0,0,4,50.0,26,21.4706,26,6,10,28,179,62,51,8,1,21,42,47,0,8.0,baixa
7,5,0,0,0,0,2,2.0,2,28.6667,2,1,1,1,55,57,44,9,1,2,61,0,0,6.0,média
20,14,0,0,0,0,3,6.0,5,38.8571,5,4,4,19,112,60,53,6,0,11,52,0,0,7.0,média
381,269,5,14,3,2,26,283.0,55,7.2289,55,8,32,25,951,345,276,8,0,34,125,0,0,6.0,média
390,0,0,35,9,0,1,390.0,181,47.8875,181,16,61,73,1660,6,1,0,0,1,263,0,0,9.0,baixa
12,11,0,0,0,0,0,1.0,2,5.5,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
41,16,0,0,0,0,2,25.0,8,9.8846,8,3,5,10,123,60,46,10,1,11,52,0,0,6.0,média
21,10,0,0,0,0,0,11.0,4,2.6667,4,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
20,3,0,0,0,0,2,17.0,9,10.5556,9,2,1,9,55,60,47,9,1,6,57,0,0,6.0,média
7,7,0,0,0,0,2,0.0,1,101.0,1,0,1,0,76,51,2,0,0,1,62,0,0,7.0,média
312,0,1,48,39,0,7,312.0,181,110.885,181,58,88,619,1944,18,13,1,1,4,716,7,0,10.0,baixa
9,6,0,0,0,0,1,3.0,2,16.5,2,1,1,1,48,36,1,0,0,1,62,0,0,6.0,média
14,6,0,0,0,0,0,8.0,3,1.2222,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
10,10,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
18,3,0,0,0,0,2,15.0,7,14.375,7,2,4,32,64,59,48,8,1,6,57,0,0,6.0,média
18,18,0,0,0,0,0,0.0,1,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
21,21,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
125,27,0,0,0,1,1,98.0,3,0.5354,3,0,2,0,24,4,1,0,0,1,62,0,0,6.0,média
5,5,0,0,0,0,1,2.0,2,25.3333,2,0,1,0,48,19,1,0,0,1,62,0,0,6.0,média
11,11,0,0,0,0,1,0.0,1,19.0,1,0,1,0,9,0,1,0,0,1,62,0,0,6.0,média
383,21,11,27,2,0,27,362.0,55,5.719,55,12,37,31,837,342,290,21,9,50,141,0,0,8.0,baixa
12,12,0,0,0,0,0,0.0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
12,5,0,0,0,0,0,7.0,2,3.25,2,0,1,0,14,0,1,0,0,0,0,0,0,6.0,média
6,0,0,0,0,0,0,6.0,2,0.8571,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
220,12,0,12,0,0,0,208.0,3,0.1866,3,0,0,0,0,0,0,0,0,0,90,0,0,6.0,média
12,1,0,0,0,0,2,11.0,2,5.3333,2,0,1,0,48,59,39,18,0,1,62,0,0,6.0,média
4,0,0,0,0,0,4,4.0,4,70.6,4,3,2,18,115,64,55,5,1,21,42,6,0,7.0,média
305,305,0,0,0,0,1,273.0,4,0.4051,4,0,1,0,86,37,14,10,0,2,43,0,1,1.0,alta
33,33,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
